inputName,text,data,bss
values_11,11824,1768,1160
values_19,11824,4464,2496
values_12,11824,3752,2144
values_38,11824,4104,2312
values_81,11824,4848,2680
values_5,11824,8464,4472
values_40,11824,2520,1536
values_70,11824,2808,1672
values_23,11824,288,440
values_72,11824,7464,3976
values_79,11824,288,440
values_78,11824,456,520
values_87,11824,6528,3512
values_6,11824,5656,3080
values_68,11824,2520,1536
values_69,11872,184,392
values_1,11872,184,392
values_45,11824,4104,2312
values_33,11824,2808,1672
values_15,11824,1544,1056
values_93,11824,6984,3744
values_24,11824,824,704
values_25,11824,2808,1672
values_26,11824,288,440
values_48,11824,360,480
values_71,11824,360,480
values_76,11824,4464,2496
values_7,11824,456,520
values_50,11824,4104,2312
values_22,11824,4464,2496
values_4,11824,1768,1160
values_32,11824,6080,3296
values_77,11824,6984,3744
values_91,11824,984,776
values_42,11824,3104,1824
values_13,11824,984,776
values_41,11824,7952,4224
values_55,11840,224,416
values_31,11824,7952,4224
values_66,11824,288,440
values_65,11824,560,576
values_62,11824,3424,1976
values_21,11824,2808,1672
values_95,11824,2520,1536
values_84,11824,4848,2680
values_58,11824,984,776
values_64,11824,1544,1056
values_83,11824,1544,1056
values_94,11824,3104,1824
values_0,11824,1768,1160
values_99,11824,1544,1056
values_96,11824,8464,4472
values_67,11824,1152,864
values_61,11824,1544,1056
values_43,11824,4848,2680
values_2,11840,224,416
values_54,11824,5656,3080
values_30,11824,6528,3512
values_59,11824,3424,1976
values_85,11824,4848,2680
values_74,11824,6528,3512
values_90,11824,4848,2680
values_18,11824,3752,2144
values_52,11824,2000,1280
values_44,11824,7464,3976
values_17,11824,688,632
values_36,11824,7952,4224
values_49,11824,288,440
values_86,11824,3104,1824
values_37,11824,4848,2680
values_56,11824,688,632
values_63,11824,4464,2496
values_35,11824,3104,1824
values_97,11824,824,704
values_75,11824,7952,4224
values_57,11824,2000,1280
values_88,11824,824,704
values_10,11824,2000,1280
values_53,11824,560,576
values_8,11824,456,520
values_39,11824,2808,1672
values_47,11824,560,576
values_60,11824,7464,3976
values_89,11840,224,416
values_51,11824,288,440
values_14,11824,1544,1056
values_28,11824,7952,4224
values_16,11824,4848,2680
values_34,11824,8464,4472
values_82,11824,4464,2496
values_46,11824,1768,1160
values_27,11824,2520,1536
values_20,11824,1768,1160
values_9,11824,2808,1672
values_92,11824,2520,1536
values_3,11824,6528,3512
values_98,11824,688,632
values_29,11824,5656,3080
values_80,11824,4848,2680
values_73,11824,4848,2680
