inputName,text,data,bss
values_11,14320,1768,1160
values_19,11984,4464,2496
values_12,11952,3752,2144
values_38,11952,4104,2312
values_81,11888,4848,2680
values_5,11888,8464,4472
values_40,15312,2520,1536
values_70,11904,2808,1672
values_23,12688,288,440
values_72,11936,7464,3976
values_79,12688,288,440
values_78,12816,456,520
values_87,11936,6528,3512
values_6,11936,5656,3080
values_68,15312,2520,1536
values_69,11856,184,392
values_1,11856,184,392
values_45,11952,4104,2312
values_33,11904,2808,1672
values_15,14016,1544,1056
values_93,11952,6984,3744
values_24,12976,824,704
values_25,11904,2808,1672
values_26,12688,288,440
values_48,13344,360,480
values_71,13344,360,480
values_76,11984,4464,2496
values_7,12816,456,520
values_50,11952,4104,2312
values_22,11984,4464,2496
values_4,14320,1768,1160
values_32,11904,6080,3296
values_77,11952,6984,3744
values_91,13216,984,776
values_42,11936,3104,1824
values_13,13216,984,776
values_41,11952,7952,4224
values_55,12192,224,416
values_31,11952,7952,4224
values_66,12688,288,440
values_65,13200,560,576
values_62,11936,3424,1976
values_21,11904,2808,1672
values_95,15312,2520,1536
values_84,11888,4848,2680
values_58,13216,984,776
values_64,14016,1544,1056
values_83,14016,1544,1056
values_94,11936,3104,1824
values_0,14320,1768,1160
values_99,14016,1544,1056
values_96,11888,8464,4472
values_67,13472,1152,864
values_61,14016,1544,1056
values_43,11888,4848,2680
values_2,12192,224,416
values_54,11936,5656,3080
values_30,11936,6528,3512
values_59,11936,3424,1976
values_85,11888,4848,2680
values_74,11936,6528,3512
values_90,11888,4848,2680
values_18,11952,3752,2144
values_52,14640,2000,1280
values_44,11936,7464,3976
values_17,13632,688,632
values_36,11952,7952,4224
values_49,12688,288,440
values_86,11936,3104,1824
values_37,11888,4848,2680
values_56,13632,688,632
values_63,11984,4464,2496
values_35,11936,3104,1824
values_97,12976,824,704
values_75,11952,7952,4224
values_57,14640,2000,1280
values_88,12976,824,704
values_10,14640,2000,1280
values_53,13200,560,576
values_8,12816,456,520
values_39,11904,2808,1672
values_47,13200,560,576
values_60,11936,7464,3976
values_89,12192,224,416
values_51,12688,288,440
values_14,14016,1544,1056
values_28,11952,7952,4224
values_16,11888,4848,2680
values_34,11888,8464,4472
values_82,11984,4464,2496
values_46,14320,1768,1160
values_27,15312,2520,1536
values_20,14320,1768,1160
values_9,11904,2808,1672
values_92,15312,2520,1536
values_3,11936,6528,3512
values_98,13632,688,632
values_29,11936,5656,3080
values_80,11888,4848,2680
values_73,11888,4848,2680
